has_about_page,has_alexa_category,has_author,has_contact_page,has_site_description,has_top_image,is_categorized_by_alexa,reliable,site_links_in_count,site_ph_rank,site_rank,site_spd_median_load_time,site_spd_percentile,text,title
1,0,1,1,1,1,1,1,26583,8,620,3144,20,"United States President Donald Trump cant get enough of his admiration for President Rodrigo Duterte.Executive Secretary Salvador Medialdea said Trump reiterated his appreciation for the warm welcome Duterte showed during his visit to the Philippines.Thank you very much, I had a great time and tell Rodrigo I like him very much, Medialdea quoted Trump as saying before the US president boarded the Air Force One back to the US on Tuesday afternoon.ADVERTISEMENTTrump arrived in the country on Sunday to attend the 31st Association of Southeast Asian Nations (Asean) and Related Meetings in Manila.READ: Trump arrives in Manila for Asean SummitDuring his bilateral meeting with Duterte on Monday, Trump praised Dutertes hosting of the Asean Summit, which he said has been handled beautifully.Weve had a great relationship. This has been very successful, Trump told Duterte.Presidential Spokesperson Harry Roque said the two leaders had a warm and cordial bilateral meeting.Trump left on Tuesday ahead of the closing of the Asean Summit. /jpv",Trump tells Medialdea: Tell Rodrigo I like him very much
1,0,1,1,1,1,1,1,26583,8,620,3144,20,"DAVAO CITY  It is a once in a lifetime opportunity and I grabbed it.So said Christopher Go, President Dutertes special assistant, on his transformation from being the national photobomber to selfie king.During the meeting of the Association of Southeast Asian Nations and the Asia Pacific Economic Cooperation, Go, also known as Bong, posted on social media selfies of him with such world leaders as US President Donald Trump, Japans Shinzo Abe and Russias Dmitry Medvedev.ADVERTISEMENTIn his selfies with Canadian Prime Minister Justin Trudeau and Australian Prime Minister Malcolm Turnbull, the two leaders were the ones who held the phone up.Actually, they insisted on taking the selfies. Turnbull remembered me from Vietnam, where I also took a selfie with him, Go told the Inquirer by phone.In some of the selfies he took, Asean and Apec leaders were seen talking in the background and he was even the first one to post a photo of Duterte and Trump talking.Go said his selfies with the heads of states would form part of his treasured collection.Those are very important to me. I am just an ordinary government employee and there I was, taking selfies with them who are very powerful people, he added.Go said his encounter with the world leaders was a great experience that cannot be translated into a few words.I am just an extra and I was taking selfies with them, he added.On Wednesday, Facebook also started featuring a profile picture frame that has the image of the new selfie king.ADVERTISEMENTAlthough the creator of the custom frame remained unknown, a number of users had started changing their profile pictures with it.When told about it, Go said: Hala!He then said: Im humbled. I am just an extra. I dont deserve this kind of attention.Go has been Dutertes close aide since 1998.Despite being perceived as the No. 2 man here because of his work with Duterte, Go remained unassuming and even described himself as the all-around utility man.He has been managing not only Dutertes political affairs but also personal affairs that if the Duterte household ran out of LPG for example, Go would take care of purchasing a refill.Even when Duterte had become President already, Go remained by his side.In Malacaang, requests and appointments had to go through him first before these should reach Duterte.Check out our Asean 2017 special site for important information and latest news on the 31st Asean Summit to be held in Manila on Nov. 13-15, 2017. Visit http://inquirer.net/asean-2017.",They insisted on taking selfies  Bong Go
1,0,1,1,1,1,1,1,26583,8,620,3144,20,President Rodrigo Duterte on Wednesday afternoon welcomed Chinese Premier Li Keqiang in Malacaang a day after the closing of the 31st Association of Southeast Asian Nations (Asean) Summit in Manila.Li arrived in Malacaang at 3:55 p.m. and was given arrival honors at the Kalayaan grounds.Duterte and Li will have an expanded bilateral meeting where they are expected to discuss issues of common interest.ADVERTISEMENTThe two leaders will also witness the signing of various Memoranda of Agreement (MOU).Duterte and Li will issue a joint statement and would then lead the ceremonial launching of the P450-million Binondo-Intramuros Bridge and the P260-million Estrella-Pantaleon Bridge.The Department of Finance had earlier said that the Chinese side indicated that it would support these two bridge projects through grant financing.The two leaders are also set to witness the ceremonial launching of the Dangerous Drugs Abuse Treatment Rehabilitation Center.Lis official visit will be capped by a state banquet hosted by Duterte. /je,Duterte welcomes Chinese Premier Li Keqiang in Malacaang
1,0,1,1,1,1,1,1,26583,8,620,3144,20,"The Philippines hosting of the 31st Association of Southeast Asian Nations (Asean) Summit and Related Summits was a success, Department of Interior and Local Government (DILG) Officer-in-Charge and Undersecretary Catalino Cuy said Wednesday.Our hosting of the 31st Asean Summit was successful, Cuy, head of the Asean 2017 Committee on Security, said in a press briefing in Pasay City.It was not a walk in the park but we were able to deliver what was expected from us, he added.ADVERTISEMENTCuy said the Asean Summit was generally peaceful and orderly, with zero incidents recorded all throughout the international convention.There were, Cuy admitted, inconveniences that marred the conference, including the monster traffic last Saturday, the protest rallies in Manila that turned violent, and the canceled Asean Music Festival in Makati.Cuy said the foreign delegations had given the government good feedback, especially the teams American counterparts who said it was easier to coordinate this time with their security requests.Yung US, yung mga counterpart natin sa security (our counterpart in the security) are very thankful for the support and assistance na binigay natin (we have given) and commented that they found it easier this time to coordinate with us, he said.The undersecretary noted the committees whole-of-nation approach was the key to the events success.The key was everyone was doing his or her part with the local government units manifesting their cooperation and assistance in providing all the necessary logistical requirements and augmenting the resources of the national government during the preliminary Asean meetings and the actual summit, he explained.Police Director Napoleon Taas, commander of the Asean Security Task Force, said that the only weakness that they could share to the public was they got a 99.9 percent rating from Philippine National Police chief Ronald Dela Rosa.I believe the only weakness was the one percent that we failed to get from the chief PNPs rating. He gave us 99.9 percent or almost perfect. So thats the only weakness that I would consider. Next time yung .01 percent na yon hindi dapat (should not be) present, he said. /jeADVERTISEMENTCheck out our Asean 2017 special site for important information and latest news on the 31st Asean Summit to be held in Manila on Nov. 13-15, 2017. Visit http://inquirer.net/asean-2017.","Asean Summit in PH a success, says DILG"
1,0,1,1,1,1,1,1,26583,8,620,3144,20,"Cash sent back home through banks by Filipinos working and living abroad declined 8.3 percent year-on-year to $2.186 billion in September partly due to the closure of a number of overseas money service providers, the Bangko Sentral ng Pilipinas reported Wednesday.The latest BSP data showed that cash remittances last September dropped from $2.383 billion in the same month last year, as well as the lowest inflow in five months or since Aprils $2.083 billion.The inflows nonetheless stayed above the $2-billion level for the 20th straight month.ADVERTISEMENTBSP data showed that the year-on-year decline posted in September was the fastest since the 10.9-percent drop posted in April 2003.In a statement, BSP Governor Nestor A. Espenilla Jr. blamed the lower September remittances figure to the 11.7-percent drop in cash remittances from land-based workers which offset the 6-percent increase in transfers from sea-based workers.There are reports that a number of global correspondent banks have closed their service facilities on money service business, reflective of the increasing global trend to reduce correspondent banking relationships and focus more on home market. This may have partly affected remittances flows during the month, Espenilla explained.Espenilla said the largest drops in cash remittances that month were recorded from Saudi Arabia, Kuwait, Qatar and Australia.For Saudi Arabia, the decline in remittances could partly be the result of the continued repatriation of overseas Filipino workers under the Saudi Arabian amnesty program which started last March. On Sept. 26, the Saudi government extended the amnesty program anew and a total of 8,467 undocumented Filipinos already availed of the initial offer, according to the Department of Foreign Affairs, Espenilla noted.From January to September, cash remittances reached $20.781 billion, up 3.8 percent from $20.025 billion in the same nine-month period last year.As of end-September, cash remittances from land-based and sea-based workers grew by 3.8 percent and 3.5 percent to reach $16.4 billion and $4.4 billion, respectively, according to Espenilla.The top sources of cash remittances at end-September were Germany, Hong Kong, Japan, Kuwait, Qatar, Saudi Arabia, Singapore, the United Arab Emirates, the United Kingdom and the United States, with these 10 countries accounting for almost three-fourths of the nine-month total.ADVERTISEMENTCash remittances are projected to hit a record $28 billion by yearend.The BSP had kept the 4-percent remittances growth target for 2017, although the value of the updated projection made in June was higher than the earlier forecast of $27.7 billion.Last year, cash sent home by overseas Filipinos through banks reached a record-high $26.9 billion, 5-percent higher than 2015s $25.6 billion.Remittances are the countrys largest source of foreign exchange income, insulating the domestic economy from external shocks by ensuring the steady supply of dollars into the system.Also, these cash transfers are a major driver for domestic consumption, hence contributing to strong economic growth. /je",Remittances down 8.3% in September
1,0,1,1,1,1,1,1,26583,8,620,3144,20,"Pinoy rock pioneer Joey Pepe Smith is now recovering but still confined in the hospital after suffering a stroke late night of Nov. 14, his manager Mark de Leon told the Inquirer.De Leon said he was driving Smith home to Antipolo after having dinner when the 69-year-old musician and actor called his attention. When I looked at him, he was drooling, De Leon said, adding that he noticed Smiths facial muscles involuntarily drooping, and immediately drove to Metro Antipolo Hospital.He felt glad Smith made it to the hospital and was given emergency treatment in 15 minutes.ADVERTISEMENTThe first six hours are crucial to a stroke victim. This was Smiths third stroke. The first one left him with a speech impediment.Smitha long-time endorser of Red Horse Beer and whos turning 70 on Christmas Day, Dec. 25is scheduled to headline the multiband lineup Pepe Smith Rockfest on Nov. 18 at Amoranto Stadium.De Leon said Smith wants to postpone the concert while he recuperates. At this posting, concert organizers are in the hospital meeting with Smith. /jpv",Pepe Smith recovering after latest stroke
1,0,1,1,1,1,1,1,26583,8,620,3144,20,"The impasse between the PBA Board of Governors remain, but Blackwater team owner Dioceldo Sy observed that cooler heads have prevailed since the two sides war of words two weeks ago.Sy is also expecting the search for the next PBA commissioner to commence soon.Now, its no longer that heated in the board room. The five teams are more or less agreeing to have a search committee on the new commissioner, he said.ADVERTISEMENTI heard there are plans to have a search committee to see who are available candidates and I heard the Board might be working on it. Maybe by next week, there should be a good news that will come up.But the annual planning held in Los Angeles, where it was expected that the issue regarding Chito Narvasas fate as commissioner would be resolved, was for naught with four governorsincluding chairman Ramoncito Fernandez of NLEXabsent from the trip.Blackwater is with the seven-team bloc, together with NLEX, TNT, Meralco, Alaska, Rain or Shine, and Phoenix calling for the head of commissioner Chito Narvasa, while the five others  San Miguel, Ginebra, Star, GlobalPort, and Kia, have all backed the beleaguered league executive.With the fire between the Board of Governors still yet to be doused, expressed worries about a possibility of a lockout in the PBAs 43rd season.Sy shared that the possibility of the seven teams excusing themselves from playing was initially discussed when the status of Narvasas commissionership first came up.When they were fighting for the commissioner, we said that if they force it, the seven teams might not play, so theres gonna be a lockout because the five other teams cannot play on their own, he said.But he is hopeful that the whatever issue affecting the league would be resolved in time for the opening of the 43rd season.Lets hope for the best. Lets just hope that there wont be any lockout. We dont want to see something like the NBA lockout a few years ago and theres no tournament. We need to give fans assurance that by December 17, the PBA should be on the roll already, he said.",Blackwater owner hoping for the best amid lockout fears
1,0,0,1,1,1,1,1,26583,8,620,3144,20,"Celebrities will often warn you that what you see on-screen, on your feed, and in magazines is an image that takes a village to make. Behind the seemingly effortless shots is a lot of manpower and creativity. What they wear isnt just something they surreptitiously pulled out of their closets. Often, it is the work of a stylist or even a team of stylists.Apart from designers, hair and makeup artists, stylists make the celebrity look good. They choose the clothes a celebrity will wear to an event or a shoot, keeping in mind their desired public image and also the latest trends. It sounds like an easy job, but to balance those two elements alone can be difficult. Add to that keeping almost the same schedule as their clients, from 2 a.m. call times to late-night events. So heres a little checklist of the behind-the-scenes heroes whose job it is to make your favorite celebrities look good.Myrrh Lao ToA post shared by Myrrh Lao To  (@myrrhlaoto) on Nov 12, 2017 at 8:39pm PSTMyrrhs clients include Angel Locsin, Yassi Pressman, and James Reid. Hes the man who chose those killer Manolo Blhanik x Rihanna shoes for Nadine Lustre. Myrrh has been in the industry for around six years but youd be surprised to find that his background isnt in fashion. Myrrh graduated Business Administration from the University of Sto. Tomas.Perry Tabora@lizasoberano oozes with confidence as she works her fiercest pose in custom @robortegastudio coming out soon  Make Up: @mickeysee Hair: @santiagoraymond #styledbyPerryTabora A post shared by Perry Tabora (@perrytabora) on Nov 3, 2017 at 10:51pm PDTWith the hashtag #styledbyPerryTabora, youll spot how hes dressed Janella Salvador, Rob Domingo, Elmo Magalona, Michelle Vito, and Zanjoe Marudo. Recently, he styled Rob Ortegas debut show for Manila Fashion Festival. But most notably, he was interviewed by Vogue for their feature on his top client, Liza Soberano.Rain Dagala and Em MilanA post shared by TEAMRAINXEM (@teamrainxem) on Oct 16, 2017 at 8:07pm PDTIf youve ever tuned in to a noontime show, chances are youve seen the work of Rain Dagala and Em Milan. They are head stylists of studio Team Rain x Em who currently handle the fashion choices of Elisse Joson, Enzo Pineda, Juliana Gomez. For the last Star Magic Ball, they were behind the looks of Billy Crawford, Maymay Entrata, and Jolina Magdangal.Patrick Perez@piawurtzbach in @ezracouture @denovodiamonds and @neilfelipp minaudire  #StarMagicBall2017 Photographed by @dookieducay #StyLIZed #StyLIZedStudio A post shared by Patrick Perez (@thepatrickperez) on Sep 30, 2017 at 11:11am PDTIf you were a fan of Pia Wurtzbachs sultry look at Star Magic Ball, you have Patrick Perez to thank for that. Hes one of the stylists under Liz Uys Stylized Studio. Other clients include Maine Mendoza, Ellen Adarna, and Isabelle Daza.Cath Sobrevega, Melville Sy, and Maita BaelloA post shared by QURATOR (@qurator_studio) on Oct 27, 2017 at 11:42pm PDTIf you want to know more about these three stylists from Quartor Studio, read up here. Between this trio, theyve dressed Marian Rivera, Toni Gonzaga, Shaina Magdayao, Ruffa Gutierrez, and Anne Curtis. Their works have gone up in billboards for various local brands and endorsements.Adrianne ConcepcionA post shared by #StyledByAdrianne (@adrianneconcept) on Nov 4, 2017 at 4:43am PDTMegan Young, Coleen Garcia, Lovi Poe, and Julia Barretto are just a few of the celebrities Adrianne Concepcion has dressed up. Working with designers like Popo Go, Sassa Jimenez, and Rhetta Eala, she creates various looks for them ready for the red carpet and also for everyday.Art by Lara IntongFollow Preen on Facebook, Instagram, Twitter, Snapchat, and ViberRelated stories:Nadine Lustre Looks Mighty Fine in Rihannas Luxury Shoe CollaborationPreen Awards: The Real Winners at Star Magic Ball 2017Stylists Diaries: From Manila to Central Saint Martins with Maita BaelloDesigners Tell Preen: Were Not Here to Hand Out Free Dresses",Get to Know the Celebrity Stylists Behind Your Favorite #OOTDs
1,0,1,1,1,1,1,1,26583,8,620,3144,20,"Six locals from Sulu have been abducted by armed men believed to be members of the Abu Sayyaf, the military said Wednesday.Fifteen armed men forcibly took at gunpoint six individuals in Brgy. Latih, Patikul town past 8 p.m. on Tuesday, said Brig. Gen. Cirilito Sobejana, commander of Joint Task Force Sulu.The victims were identified as Jessy Trinidad, 55; Nene Trinidad, 56; Aloh Trinidad, 22; Lucy Hapole, 21; Junjun Hapole, 12; and Nelson Hapole, 7.ADVERTISEMENTSecurity forces were immediately dispatched to verify the report and conduct pursuit operations, Sobejana said.He also cautioned the residents to take proactive measures and report anything unusual in the community to preempt similar incidents from happening.This demonstrates that the notorious kidnappers in Sulu are victimizing anybody including their fellow Tausugs even those who have less in life. Such hostility reminds us that security is everybodys responsibility, Sobejana said. /je",Suspected Abu Sayyaf men abduct six locals in Sulu
1,0,1,1,1,1,1,1,26583,8,620,3144,20,"Prime Minister Shinzo Abe again expressed his desire to improve the relationship between Japan and China during a meeting with Chinese Premier Li Keqiang on Monday in Manila, following talks with Chinese President Xi Jinping on Saturday.I want to strongly push forward the development of a mutually beneficial relationship based on common strategic interests, Abe said at Mondays meeting.Given that there is no sign of major diplomatic progress with Russia concerning the northern territories and other issues, Abe hopes to boost his administration through diplomacy with China in economic and other fields.ADVERTISEMENTAccording to a Japanese government source, the meeting between Abe and Li was held at the request of the Chinese government. The Japanese side thinks that the premiers first visit to Japan for a trilateral summit meeting among Japan, China and South Korea would be a step toward realiSing reciprocal visits by the two countries leaders, Abe and Xi, according to a senior Foreign Ministry official.The Japanese government is therefore accelerating efforts to arrange the schedule with China and South Korea, in order to hold the trilateral summit as early as possible.The meeting between Abe and Xi that was held in Vietnam on Saturday prior to the talks between Abe and Li was carried out in the best mood so far, according to an official who attended the Abe-Xi meeting. When discussing the issue of North Korea, the two leaders were able to exchange honest views without looking at response guidelines prepared in advance. They also confirmed that they would hold telephone conferences more frequently in the future.Abe is accelerating efforts to improve the relationship with China because he hopes to cooperate with China on strengthening bilateral economic cooperation and dealing with North Korea. Since Xi established his position as a single, powerful leader at the Communist Party of Chinas National Congress in October, there are expectations among Japanese government officials that he can now more easily make a decision to improve ties with Japan.However, given the situation in the East China Sea, including the regular incursions by Chinese government vessels into Japanese waters around the Senkaku Islands in Okinawa Prefecture and Chinas unilateral development of gas fields, many believe it will not be easy to resolve the confrontation between the two countries, according to a senior Foreign Ministry official.Another reason behind Abes inclination toward diplomacy with China appears to be the fact that it will take time to produce results in talks with Russia.Abe aims to conclude a peace treaty that will include the resolution of the northern territories issue with Russian President Vladimir Putin, and has held many summit meetings with him for this purpose.However, Putin said at a press conference on Saturday that it is not important, for the purpose of concluding a peace treaty, whether the leaders are Abe, Putin or other people, revealing a difference of opinion with Abe.",Abe aims to boost own govt by improving ties with China
