body,title
"Ruffa Gutierrez allegedly scandalized the staff of St. Luke’s Medical Arts Building.The actress was said to have underwent a knee procedure after her intense workout.What happened and how did the actress supposedly reacted on the procedure? Read on!Ruffa Gutierrez is known for being gregarious and completely open. Recently, it was alleged that she scandalized the staff of St. Luke’s Medical Arts Building located in the Bonifacio Global City because of her supposed shrieks.According to an unverified report by Abante TNT, the actress supposedly shrieked because of a knee procedure done to her by a certain Dr. Vista.The source claimed that she said through social media:“Doctor removed 2 jars of liquid from my knee!!! It was the most painful thing on earth!!! The entire hospital heard my scream, ‘kaloka! I cried so much. I need to rest for the next 2 days and no workout”They cited that she said those words in an exchange of chat messages with her. However, it is worth noting that the chat may or may not have happened since the report remains unverified as of this writing.Ruffa Gutierrez allegedly injured her knee from a workout she had three months ago. The actress was quoted as saying:“I went to 2 other doctors who said I just needed therapy, pero palagi pa ring masakit my knee, so, I went to Dad’s (Eddie Gutierrez) doctor at St. Luke’s Global today. My gosh, he got soooooo much fluid from my knee. It was so swollen. I need to rest, but not totally bed rest naman.”According to the source, she needed to place an ice pack and an ointment on her knee so that it wouldn’t become “black” or “blue” in appearance.She reportedly claimed, “Kaloka talaga. But the good news is I’ve already lost 7 kilos. Yeheeey! Thanks to my diet, may trainer Arnold.”They added that the actress supposedly gets affected whenever her mother Annabelle Rama would mention that she needed to workout since she is “fat.” As such, she would go on “diets” and “workouts.”Watch the video below:What do you think about Ruffa Gutierrez supposedly involving the staff of St. Luke’s in BGC in a scandal? Do you believe she really shrieked that loud? What can you say about this? Share your thoughts in the comments section below!SOURCE: Abante TNT",Nagtitili At Umiyak Sa St. Lukes Si Ruffa Gutierrez Matapos Gawin Ito Ng Isang Doktor Sa Kanyang Tuhod
"It’s up to you to figure out what “coming out” in today’s headline means. Those words came from Funfare’s VDPA (Very Deep Penetration Agent) who said that early next year, Mark Bautista is “coming out” with a tell-all book that can send shock waves through the industry.“Mark will leave nothing to the imagination,” swore the VDPA close to Mark, who claimed to have seen the rough draft of the book stamped “highly confidential” at the moment and once it is out in the market, “it is bound to cause a lot of people sleepless nights.”When word leaked that Mark was “coming out” with a “no-holds-barred” book, some people (this one included) dismissed it as, well, a false alarm, until Funfare’s VDPA said that it’s true.“If you have read the auto-biographies of Cliff Richard, Ricky Martin, Olympic American diver Greg Louganis and other celebrities ‘coming out’ of their shells,” added the VDPA, “you will have an idea what Mark’s book is all about.”Anyway, let’s wait and see until the book’s launch.The big question is: Will Mark name names and invite whoever are “revealed” in the book to its launch? Will somebody stop its publication? Will anybody file a TRO (Temporary Restraining Order) against its release?Entertainment ( Article MRec ), pagematch: 1, sectionmatch: 1“One thing is sure,” continued the VDPA. “Something profound happened to Mark during his prolonged stay abroad, starting in London where he played Ferdinand Marcos in the musical Here Lies Love.”Kuya E (Neo de Padua) returns with a concert on Dec. 14 at the Music MuseumHow the Big C changed Kuya E’s outlook in lifeThere’s a reason why Kuya E (Neo de Padua) titled his concert Miracle, Music & Love, slated for Dec. 14 (Thursday), 7 p.m. at the Music Museum.You see, Kuya E was diagnosed with Stage 3 colon cancer in 2006 and he went into remission two years later. He has been cancer-free since then.“It’s a miracle that I am still alive,” confessed Kuya E, “and every morning when I wake up, the first thing I do is thank God for giving me another day. Life is like music; sometimes it’s happy, sometimes it’s sad. It’s up to you to choose the melody of your life. I love inspiring and promoting love in all walks of life.”Produced by Big Eyes Events & Productions, the concert marks the comeback of Kuya E after a long absence. He used to be known as “The Millionaire Maker of MLM Industry in the Philippines,” until he was taken ill. Among his guest performers are the E4 Band, Ani Pearl, Kath Loria, Rapido and 2017 Himig Handog awardee Aikee.“My outlook in life has changed,” said Kuya E. “I don’t get angry easily, I am more forgiving and more prayerful. I start and end my day by praying. I also make it a point to say ‘I love you’ to my loved ones while they are still around to appreciate it. And I have forgiven those who cheated me of millions.”Aside from the concert, Kuya E is almost finished recording an album supervised by Vehnee Saturno, with Ako’y Nangarap as carrier single. In January next year, he will host the show RYTS (Rule Yourself To Success) on NET 25.(For tickets to Miracle, Music and Love, call 0921-3253118 or 0956-6834843.)Jet Rai with his two ‘diptych’ works, The Muse and Mantis Head, at the Artchemy: Mixing Modern With Contemporary exhibit at the Art Anton Gallery in MOA Complex, Pasay City, from Dec. 2 to 24.Jet Rai in Artchemy: Mixing Modern with Contemporary exhibitGone from the showbiz/modeling scene for a while, Jet Rai has been busy painting preparatory to the Artchemy: Mixing Modern with Contemporary exhibit which runs from Dec. 2 to 24 at the Art Anton Gallery (Ground Floor, S Maison, Marina Way, Mall of Asia Complex, Pasay City).The show features legendary artists Joe Datuin, Fil Delacruz, Raul G. Isidro, Rico H. Lascano and Nestor Olarte Vinluan; international Filipino artist Migz Salazar who is based in Paris; contemporary artists Pinggot Zulueta, Janos Delacruz, Capiral Alfred, Abe Orobia, Roi Espinosa, Othoniel Otto Neri, Judeo Razon Herrera and, that’s it, Jet Rai.Guest artists are Hermes Alegre, Jonathan Viaje Dangue and Ram Mallari Jr.Artchemy: Mixing Modern with Contemporary is described as “a rare synergy of seasoned visual artists whose works resonate with the modern art movement; and mid-career visual artists whose refreshing compositions of contemporary sensibilities complement those of the works of the former.” The exhibition offers an interesting juxtaposition of works that are faithful to tradition and works that are deliberately irreverent. It is an alchemy of the modern and the contemporary.(E-mail reactions at entphilstar@yahoo.com. For more updates, photos and videos, visit www.philstar.com/funfare or follow me on Instagram @therealrickylo.)",Is Mark really coming out early next year?  MaharlikaNews @ykhy CW051017
"FILE – Nonito Donaire, left, and Guillermo Rigondeaux face off ahead of their super bantamweight title fight. APA five-division champion, Nonito Donaire knows a thing or two about fighting, so when he saw Guillermo Rigondeux quit mid-fight against Vasyl Lomachenko, that decision did not quite sit well with him.“Incredible performance from Loma, Rigo has never been in this position where he has been dominated every way,” Donaire posted on Twitter Sunday. “But I still can’t understand how a fighter quits.”“I fought with bloody hands, I fought with numerous fractures, and sometimes my brain tells me to stop and tells me I’ve done enough but never in my life have I ever quit.”Rigondeux, a natural super bantamweight, moved two weight classes to challenge Lomachenko for the WBO world super featherweight belt and failed after he quit on his stool before the seventh round.READ: Lomachenko stops Rigondeaux in bout between Olympic greats“You could knock me down and I’ll at least attempt to get up,” said Donaire (38-4). “But I won’t quit ever, it is what it is.”Donaire added that he wasn’t bitter losing to Rigendeaux and that he even wanted to see his former opponent to win especially after moving up a couple of weight classes.READ: Donaire yields world boxing title to Rigondeaux“The Filipino Flash” lost to Rigondeaux in 2013 via unanimous decision in their unification bout for the WBA and WBO world super bantamweight titles.Donaire, the current WBC silver featherweight champion even mentioned that he also wanted Nicholas Walters, whom he lost to in 2014, to win against Lomachenko back in 2016.READ: Unbeaten Walters KOs Donaire for title“Some people believe I’m sour or bitter and wanted Rigo to lose, on the contrary, I wanted Walters and Rigo to win because in doing so it gives me the credibility of getting beaten by the top pound-for-pound,” said Donaire.“Staying on the stool with half the fight left, on the other hand, negates the macho image purported by going two weight divisions up.”",Donaire blasts Rigondeaux for quitting vs Lomachenko  MaharlikaNews @ykhy CW051017
"When this woman named Kristen found out,that she was pregnant, she knew that her partner Cory would be so,excited to be the a father.She knew that she could,pull up a surprise for the announcement that a,little blessing is coming their way.Kristen planned to have a taste-test challenge,with Cory. What Cory didn't know is that it was something more.A camera was set up and Cory was,blindfolded. They started off by giving him several little containers which,has different kinds of food inside.But when they came up to the last one and,Kristen gave him the idea that they were having a baby, Cory was completely stunned. Until he got back to his senses and,was jumping out of joy. He claims that this is one of the,best feeling ever. He immediately kissed her and her,tummy as a sign that he is truly thankful for the wonderful blessing.",Public Trending
"The bitcoin frenzy shows no sign of letting up, with the price of the digital currency soaring and bitcoin futures set to start trading on Sunday. Here’s a look at what bitcoin is and why there’s so much excitement around it.So what is bitcoin?It’s a fairly new type of currency, not controlled by any government or centrally processed by any bank or company. You can use it to buy things, though don’t expect your corner store to necessarily take it, and increasingly it’s used as an investment.You could think of it as a sort of gold for the digital era. Like gold, no one centrally controls production, supply is limited in part by the effort required to produce it, and you can hold on to it as a store of value.But because it’s digital it can be sent anywhere easily, and each bitcoin can be divided up into fractions much easier than trying to cut up a gold bar, making it potentially much easier to use for actual transactions and to act like a currency.How does it work?The biggest challenge to a digital currency is what’s called double-spending.Without a bank or credit card or other intermediary acting as a trusted third party, confirming that the same number of dollars come out of one person’s account and go into another, it’s hard to make sure people aren’t spending the same digital money in multiple places or multiple times.Bitcoin solves this with a public digital ledger that records every transaction, and which forms the basis of the blockchain. Specialized computers around the world crunch complex mathematical problems that incorporate information from a transaction, then once solved, other computers verify the math. The solved equation, with the transaction incorporated, is then added to the blockchain as a permanent record.The combination of collective confirmation, and the public record of the transaction, combine to solve the lack of centralized clearing.How are bitcoin made?Dan Ingram sets up some of his new bitcoin mining machines in a warehouse he’s renting in B.C.’s Lower Mainland. (Glen Kugelstadt/CBC)New bitcoin is produced as the reward for trying to solve the complex equations involved in every transaction.Specialized computer farms are set up to solve the equations, with the first network to actually solve the equation rewarded with new bitcoin. While in the early days after bitcoin was launched in 2009 this could be done by hobbyists from personal computers, the increased complexity of the blockchain means it requires more energy and computing power to solve the equations and produce new coins.The energy being used to power the network is enormous. Bitcoin-focused website Digiconomist calculates that bitcoin uses more than 32 terawatt hours of power a year, or about the same power as Denmark uses in a year. Digiconomist says that with much of the network powered by cheap coal electricity in China, each transaction has a footprint of about 122 kilograms of carbon.How and why would you use it?People can buy bitcoin, but the price of the cryptocurrency has been rising, quickly. (Josep Lago/AFP/Getty Images)Bitcoin is touted as a way to make free and secure money transfers, potentially cutting out the fees charged by companies that have traditionally processed those transactions. The digital currency could allow people in countries with heavily manipulated or controlled currencies to make international transactions easier, or it could be used as a more novel way to send money to friends. The price volatility, however, has made using it as a currency trickier.As to actually using bitcoin, while no one centrally controls it, you still need the software or app and an exchange to make the transaction easier. Then all you need to do is give up some of your government-backed currency for bitcoins and you’re in the game.Why is the value increasing so much? Is it a bubble?When it launched in 2009, each bitcoin was worth very little, since the system was designed to make it easy at first to make more bitcoin on a simple laptop, allowing the supply to grow. Even as recently as early 2013 it was trading for under $15 US, but since the start of 2017 the price has gone from about $1,000 to its recent highs in five figure territory.The growth is being cause by a few factors, including wider use of the underlying blockchain and the spread of alternative forms of bitcoin, more security on the exchange networks and more companies launching with plans to use bitcoin. Once its value started to rise, it’s now a self-feeding frenzy with investors from around the world able to buy into it with few barriers to entry.With bitcoin not paying any dividends, interest or other rewards for holding it, people buying into the currency as an investment hope it’s value will simply keep rising. As to how high it will go, or how much it will fall when interest wanes is anyone’s guess.",What is bitcoin and why is the digital currency surging?  MaharlikaNews @ykhy CW051017
JOIN OTHER READERS WHO GET NEW STORIES BY EMAIL!* Stay up to date with the changing Philippine political landscape.* Learn more about the opportunities and challenges of investing in the Philippines.* Read articles and analyses that will make you rethink the mainstream media headlines.Enter your email and be fully informed.,The Volatilian
"Category: Social  Shocking news was posted by the former beauty queen, Carlene Aguilar , on her personal Facebook wall detailing how his husband Yo Ocampo was beaten by the owners of Grand Boracay Resort, in the Island of Boracay. The following  Duenas Languitan, an Overseas Filipino Worker (OFW) who, in viral video, was reportedly abused by her employer in Saudi Arabia, was finally rescued by no other than supporters of President Rodrigo Duterte. Yesterday, a video of her that shows  video of heartless Chinese man who beats his greyhound to death because he lost big amount of money after it loses in dog race is making round on Social media. Mobile phone footage shows the enraged man shouting while  a decade of battles between lawmakers, Japan has finally decided to allow human meat consumption. The world’s first restaurant that serves human meat legally is not open at Kichiba District in downtown Tokyo. The restaurant named “Restorantu Ani Taberareru”  train incident has captured the attention of netizens, but this time its not the MRT3. A video of a Light Rail Transit Line 1 (LRT 1) train running with its doors open went viral on social media Tuesday. Netizen  video of teen slamming the critics of President Rodrigo Duterte is getting traction online as it is going viral on Facebook. A certain Bryan Wendell Sioson gives his insights on Commission on Human Rights (CRH), and even asked questions  hospitality of Filipinos once again shown when an Overseas Filipino Worker (OFW) saved an old man  who was stranded in his car in Saudi Arabia while everyone was just afraid to take the risk. A video posted by Facebook  man sells firewood to pay wife’s medical bills – then passerby learns she’s already dead When Jessica Pittman was driving through her hometown of Gulfport, Mississippi, last year, she couldn’t help but notice an elderly man standing next to  is a great deal of emotion while watching this video. A street dog fell into one of the open wells filled with water that are common in rural areas in India and struggled to stay afloat for hours before  of an angel-like  figure formed after an avocado tree was downed by Typhoon Paolo in Bayawan City, Negros Oriental, is getting the attention of netizens. Different interpretation of the figure includes an angel, and San Miguel Archangel. Residents who  navigation",Social News Archives
"“Not the dog houses the past administration of the heartless elitist bastards, Noynoy and Mar provided. Spotty at less than 1% the number of homes they should have built and when they finally found a trickle of motivation to build homes, what did they build but dog houses where 50 or so families shared one toilet/bathroom?“I know this. I saw the shit they built and when I saw those hovels, the first words out of my mouth were, “You have got to be fucking kidding me..”, endless shaking of head. Shake shake shake.“Hovels that were a little bit wider than one arms’ length and maybe, at most 2 arms’ length at its widest with paper thin plyboards between each unit.“My dogs live so much more luxuriously.“Something that most of us will not be able to live in for one night, they lived in for over 3 yrs.“And just like that. JUST LIKE THAT. And because the president ordered it. The poor, the grieving, the beaten down and defeated have been given a leg up.“The president visited them earlier this month and he saw the same shit others (me included) saw and it grieved him. And this is where he provided the muscle needed to get our kababayans out of the nightmare they were in for the past 3 yrs.“The poor cannot tolerate setbacks as much as we, who are a bit better off, can.“One illness in the family, a typhoon that destroys their homes, takes their livelihoods away- can send them into a downward spin they can’t get out of. And this is where generational poverty starts. It’s just too hard for them to get out of this vicious trap. They need our help—over and beyond what most of us need.“And I hear that on top of these homes, transportation to and from school for the children will be provided for. And then of course, there’s the rice subsidy on top of the conditional cash transfer they will get. And I hear public school kids are going to be given carabao milk every day. In this place where I see so much malnourished children and where children who go to school hungry, day in, day out.“I could cry. Really I could–from this man’s kindness. And how his heart is so clearly for the poor and how he serves them in all ways.“The kind of service I have not seen for the poor from a sitting president in a very long time.“And so today I learned the most powerful man in our country has reached out and given his hand to some of our least powerful.“And today I learned that so much of what I ached for for the people of Samar and Leyte will finally come to pass.“Today is a good day, my friends.“I hug you guys. TIGHT. With gladness and great rejoicing!“Todos saludos, Mr. President!”",Public Trending
"A patient being carried out of an ambulance was accidentally dropped to the ground by hospital staff. The incident was caught on the CCTV of a hospital in Surigao del Norte.Apparently, the safety belt on the stretcher the patient was being carried on was not properly strapped in and that the wheel of the stretcher were locked which caused the patient's body to tilt to the side and completely fell to the ground.The patient was declared dead on arrival but his wife speculates that the mishandling of the hospital staff that caused his husband to fall might have had greatly contributed to her husband's death. She also said that she could still hear him snoring on the way to the hospital and firmly believes that if he hadn't fall from the stretcher, he may still be alive right now. On the other hand, the doctor who attended the patient said he was already dead because of heart attack.The hospital also pointed out that the family of the patient breached the emergency protocol by bringing another person board the ambulance instead of having just the wife to go with the patient. That other person, who happens to be a nurse, was said to have tried to interfere with the staff by kicking the stretcher wheel that won't unlock.The patient's cousin said in defense that rescuers specifically asked for her help.""Yung rescuer humingi ng tulong na sipain 'yung gulong kasi hindi nila maiangat yung lock ng gulong ng stretcher. Yung stretcher din kasi nila may depekto."", the patient's cousin said.The hospital also suggests that the family edited the CCTV video and that they are just using their predicament for monetary gains.Meanwhile, the Surigao City Emergency Rescue Services remains mum on the issue.Watch the video report of the incident below:Here's the full copy of the CCTV footage posted by the victim's relative on social media:",Hospital Staff Dropped Heart Attack Patient From Stretcher
"People cheat for different reasons. Some are simply fed up with their relationship, some are bored, while others are just plain cheaters.However, no matter what the reasons are, cheating is never a good thing specially if your girlfriend or wife are pregnant. You’re not only hurting someone but you’re also putting yourself in shame. It is best to formally end the current relationship first before starting a new oneA certainfacebookuser named Shara Chavez posted 5 photos about her boyfriendjovitbaldivinoand hissidechickon social media Saturday,june10.She said in the post ""Homewrecker of the year...Dahil dinelete ang live. Hahahaha11111Akala mo naman wala akong kopya,holding hands daw kayo oh nahiya kapa!! 😂Uyyy ati girl wag masyado kiligin,, may gf at baby na yan. Pero dahil ang ganda mo wala ng #happyfamily. Thanks facebook, abot ko ang kalandian nyo! Haha 😊P.S. umakyat din si ate girl sa stage dun sila nagkakilala (june 3 lang) and now dinayo na po sya ni idol and welcome sa family. God bless sa inyo! ♥️#fanturnedgirlfriend now signing off #walangforever #aymeronpalasaSTAGE😂",Huli sa akto si Jovit Baldivino ng kanyang gf na may iba!
